City,State,Country,HQ2 Finalist,HQ2 Victor,SiteName,Population,Y,X,Local_Before,State_Before,Total_Before,Local_Leaked_Post1113,State_Leaked_Post1113,Total_Leaked_Post1113,Total_Final,Total_PerCapita,Total_Final_String,Total_PC_String,PublicationMethod,PublicationMethod_Code,IncentiveType,StateBid,Link_Intel,ReleasedBid,Leaked_Post113_BidIntel,Other Intel Links,Notes
Birmingham,Alabama,United States,0,0,None Identified,210710,33.520197,-86.810935,Denied FOIA,Denied FOIA,Denied FOIA,Denied FOIA,Denied FOIA,Denied FOIA,0,0,$0,$0.00,Denied FOIA,6,Unknown,No,https://www.muckrock.com/foi/birmingham-743/amazon-hq2-bid-44985/,,,http://bringatob.com/,Denied FOIA.
Anchorage,Alaska,United States,0,0,None Identified,294356,61.216369,-149.894842,0,NA,0,NA,NA,NA,0,0,$0,$0.00,Not Released,4,Unknown,No,https://www.ktva.com/story/36641350/three-alaskan-women-make-case-for-2nd-amazon-hq-in-anchorage,,,,
Calgary,Alberta,Canada,0,0,None Identified,1239220,51.045628,-114.056506,0,0,0,NA,500000000,500000000,500000000,403,"$500,000,000",$403.48,Values,2,State,No,https://calgaryherald.com/business/local-business/calgary-offers-amazon-sweeteners-no-tax-incentives,,,https://www.vantageres.com/localities-fortify-their-amazon-hq2-bids-with-hefty-financial-incentives/,"State is Canada, with $500M boost"
Edmonton,Alberta,Canada,0,0,None Identified,932550,53.545668,-113.490205,0,0,0,NA,500000000,500000000,500000000,536,"$500,000,000",$536.16,Values,2,State,No,https://www.cbc.ca/news/canada/edmonton/edmonton-amazon-bid-corporate-incentives-1.4904472,,,https://www.vantageres.com/localities-fortify-their-amazon-hq2-bids-with-hefty-financial-incentives/,"State is Canada, with $500M boost"
Phoenix,Arizona,United States,0,0,Park Central Mall ,1626078,33.484183,-112.07639,Denied FOIA,Denied FOIA,Denied FOIA,Denied FOIA,Denied FOIA,Denied FOIA,0,0,$0,$0.00,Redacted,5,Unknown,No,http://www.natemjensen.com/wp-content/uploads/2018/02/Phoenix-Local-level-incentives-redacted.pdf,,,https://www.muckrock.com/foi/phoenix-94/amazon-hq2-bid-45333/,
Vancouver,British Columbia,Canada,0,0,"Broadway Tech Centre, Surrey City Centre, Bridgeport, Downtown",631490,49.281415,-123.114554,Redacted,Redacted,Redacted,NA,500000000,500000000,500000000,792,"$500,000,000",$791.78,Redacted,5,State,No,http://www.vancouvereconomic.com/wp-content/uploads/2018/02/Vancouver-Amazon-HQ2-Proposal-Feb-2018.pdf?utm_source=Website&utm_medium=Button&utm_campaign=AmazonHQ2Download&utm_content=ViewPDF,http://www.vancouvereconomic.com/wp-content/uploads/2018/02/Vancouver-Amazon-HQ2-Proposal-Feb-2018.pdf?utm_source=Website&utm_medium=Button&utm_campaign=AmazonHQ2Download&utm_content=ViewPDF,https://vancouversun.com/business/local-business/langford-makes-bid-for-amazon-headquarters-2,https://www.vantageres.com/localities-fortify-their-amazon-hq2-bids-with-hefty-financial-incentives/,"State is Canada, with $500M boost. $50k thrown in by BC for metro Vancouver bids. "
Langford,British Columbia,Canada,0,0,Unreleased,35342,48.449858,-123.50468,Unreleased,Unreleased,Unreleased,Unreleased,50000,Unreleased,50000,1,"$50,000",$1.41,Redacted,5,Unknown,No,https://thebreaker.news/news/comes-showing-amazon-hq2-bids-toronto-good/,,,,"Bid not released. Stated that BC contributed $50,000 for metro Vancouver. "
San Francisco,California,United States,0,0,San Francisco Shipyard and Candlestick Point,884363,37.712912,-122.379456,6400000000,1300000000,7700000000,NA,NA,NA,7700000000,8707,"$7,700,000,000","$8,706.83",Values,2,Local & State,No,http://documents.bayareacouncil.org/amazonbid.pdf,http://documents.bayareacouncil.org/amazonbid.pdf,,https://www.reuters.com/article/us-amazon-com-headquarters/billions-in-tax-breaks-offered-to-amazon-for-second-headquarters-idUSKBN1CO1IP,"State value is the absolute max possible, hard to figure out if they passed bill for $1b in tax credits. If not, then $300 M from state."
Irvine,California,United States,0,0,Spectrum District,277453,33.651494,-117.744566,5300000000,1300000000,6600000000,NA,NA,NA,6600000000,23788,"$6,600,000,000","$23,787.81",Values,2,Local & State,No,http://www.oneclickhq2.com/media/2733/hq2_irvine_proposal_final_v2.pdf,http://www.oneclickhq2.com/media/2733/hq2_irvine_proposal_final_v2.pdf,http://product.costar.com/home/news/shared/184098,https://www.reuters.com/article/us-amazon-com-headquarters/billions-in-tax-breaks-offered-to-amazon-for-second-headquarters-idUSKBN1CO1IP,Untabulated property tax abatement
Concord,California,United States,0,0,Concord Phase I,129783,38.056995,-122.029301,447000000,1300000000,1747000000,NA,NA,NA,1747000000,13461,"$1,747,000,000","$13,460.93",Values,2,Local & State,No,http://documents.bayareacouncil.org/amazonbid.pdf,http://documents.bayareacouncil.org/amazonbid.pdf,,https://www.reuters.com/article/us-amazon-com-headquarters/billions-in-tax-breaks-offered-to-amazon-for-second-headquarters-idUSKBN1CO1IP,"State value is the absolute max possible, hard to figure out if they passed bill for $1b in tax credits. If not, then $300 M from state."
